Date;Mwig;mWig_dy;d;
30.09.2007;4568,14;0,78%;35,5401292;#ARG!
31.12.2007;4028,37;0,95%;38,269515;7,40%
31.03.2008;3363,11;1,88%;63,226468;50,21%
30.06.2008;2649,88;0,97%;25,703836;-90,01%
30.09.2008;2252,23;1,61%;36,260903;34,41%
31.12.2008;1511,27;2,53%;38,235131;5,30%
31.03.2009;1381,68;1,47%;20,310696;-63,26%
30.06.2009;1769,47;0,42%;7,431774;-100,54%
30.09.2009;2258,99;0,66%;14,909334;69,62%
31.12.2009;2346,14;0,75%;17,59605;16,57%
31.03.2010;2496,22;0,74%;18,472028;4,86%
30.06.2010;2373,84;0,55%;13,05612;-34,70%
30.09.2010;2653,45;0,92%;24,41174;62,58%
31.12.2010;2805,26;0,94%;26,369444;7,71%
31.03.2011;2912,5;1,15%;33,49375;23,92%
30.06.2011;2850,55;1,06%;30,21583;-10,30%
30.09.2011;2169,48;1,68%;36,447264;18,75%
31.12.2011;2173,89;1,54%;33,477906;-8,50%
31.03.2012;2503,64;1,47%;36,803508;9,47%
30.06.2012;2300,09;3,90%;89,70351;89,09%
30.09.2012;2353,2;4,30%;101,1876;12,05%
31.12.2012;2552,54;3,58%;91,380932;-10,19%
31.03.2013;2624,74;3,85%;101,05249;10,06%
30.06.2013;2776,93;1,23%;34,156239;-108,47%
30.09.2013;3275,69;0,86%;28,0071495;-19,85%
31.12.2013;3345,28;0,84%;28,2007104;0,69%
31.03.2014;3481,44;1,10%;38,29584;30,60%
30.06.2014;3446,01;1,66%;57,0314655;39,83%
30.09.2014;3639,74;2,26%;82,258124;36,63%
31.12.2014;3483,45;1,87%;65,140515;-23,33%
31.03.2015;3732,01;1,52%;56,5399515;-14,16%
30.06.2015;3685,49;1,55%;57,0513852;0,90%
30.09.2015;3576,75;2,25%;80,476875;34,40%
31.12.2015;3567,05;2,62%;93,5637215;15,07%
31.03.2016;3612,3;3,04%;109,81392;16,01%
30.06.2016;3393,01;2,97%;100,6027465;-8,76%
30.09.2016;4030,06;4,98%;200,696988;69,06%
31.12.2016;4215,54;4,37%;184,3455642;-8,50%
31.03.2017;4743,66;2,38%;113,0414178;-48,91%
30.06.2017;4907,43;2,45%;120,1338864;6,09%
30.09.2017;4988,02;2,50%;124,6007396;3,65%
31.12.2017;4847,27;2,45%;118,8065877;-4,76%
31.03.2018;4554,89;2,04%;92,6920115;-24,82%
30.06.2018;4219,73;2,41%;101,695493;9,27%
30.09.2018;4168,97;3,37%;140,6193581;32,41%
31.12.2018;3909,37;3,48%;135,9678886;-3,36%
31.03.2019;4149,5;2,88%;119,630085;-12,80%
30.06.2019;4082,45;2,66%;108,511521;-9,75%
30.09.2019;3701,37;2,83%;104,5637025;-3,71%
31.12.2019;3908,2;3,03%;118,41846;12,44%
31.03.2020;2850,06;4,36%;124,120113;4,70%
30.06.2020;3468,48;3,53%;122,26392;-1,51%
30.09.2020;3562;1,24%;44,1688;-101,82%
31.12.2020;3976,5;1,03%;40,95795;-7,55%
31.03.2021;4360,66;0,94%;40,990204;0,08%
30.06.2021;4825,09;1,86%;89,8914267;78,53%
30.09.2021;5255,82;2,18%;114,4717596;24,17%
31.12.2021;5291,72;2,54%;134,5684396;16,17%
31.03.2022;4778,07;2,83%;134,9804775;0,31%
30.06.2022;4069,37;3,11%;126,557407;-6,44%
30.09.2022;3552,54;3,44%;122,1363252;-3,56%
31.12.2022;4154,32;3,12%;129,407068;5,78%
31.03.2023;4504,04;2,66%;119,7173832;-7,78%
30.06.2023;4852,03;2,61%;126,7835439;5,73%
30.09.2023;4936,38;3,42%;168,577377;28,49%
31.12.2023;5785,21;2,91%;168,349611;-0,14%
31.03.2024;6326,51;3,08%;194,9197731;14,65%
30.06.2024;6517,71;3,04%;198,3990924;1,77%
30.09.2024;6201,66;3,44%;213,1510542;7,17%
;;;;
