timestamp,TBSP,WIBOR3m,TenYPL
2003-01-31,0.009386470506456896,0.005391666666666666,0.004778333333333333
2003-02-28,0.009354217611177723,0.005225,0.0046275
2003-03-31,0.008524183333379969,0.0049833333333333335,0.004565
2003-04-30,0.008128717357971481,0.0047416666666666675,0.004415833333333333
2003-05-31,0.007988142406079759,0.0045000000000000005,0.004215833333333334
2003-06-30,0.007488859032601642,0.004433333333333333,0.0042525
2003-07-31,0.004808377064438979,0.004366666666666667,0.0047241666666666664
2003-08-31,0.0044767707434302615,0.004283333333333333,0.004711666666666667
2003-09-30,0.002948926155177238,0.004366666666666667,0.005095
2003-10-31,0.0010519852102366541,0.004883333333333334,0.005960833333333333
2003-11-30,-7.332859218676805e-5,0.004858333333333333,0.006161666666666667
2003-12-31,0.0023459361220837783,0.004666666666666666,0.005498333333333333
2004-01-31,0.0007116956893158783,0.00455,0.005714166666666667
2004-02-29,0.00109505069986702,0.004583333333333333,0.005669166666666666
2004-03-31,0.001632260964652047,0.004575,0.0055541666666666665
2004-04-30,0.000506953260417655,0.004875,0.006061666666666667
2004-05-31,0.0006053120411790547,0.005,0.00616
2004-06-30,0.0014083427604753506,0.0050416666666666665,0.006039166666666666
2004-07-31,0.0017831314077577354,0.005341666666666667,0.0062475
2004-08-31,0.0048657256006890085,0.005833333333333334,0.006096666666666667
2004-09-30,0.006796531732210688,0.005758333333333333,0.005640833333333334
2004-10-31,0.0062907128478267415,0.0057,0.005686666666666666
2004-11-30,0.007790593820623982,0.005641666666666666,0.0053325000000000004
2004-12-31,0.00975589907850728,0.005533333333333334,0.004838333333333333
2005-01-31,0.008927261713291923,0.005508333333333334,0.00498
2005-02-28,0.009787715118158387,0.005258333333333333,0.0045725
2005-03-31,0.00823564860019065,0.004925,0.0045674999999999995
2005-04-30,0.006610405288130552,0.004658333333333333,0.004639999999999999
2005-05-31,0.007870072452335597,0.004533333333333334,0.004270833333333333
2005-06-30,0.007587851753143566,0.004083333333333334,0.0039024999999999997
2005-07-31,0.005732468646796681,0.0038916666666666665,0.004091666666666667
2005-08-31,0.006202071473251856,0.003841666666666667,0.003950833333333333
2005-09-30,0.0061611414762496475,0.00375,0.0038725000000000005
2005-10-31,0.0039349450816480325,0.0038499999999999997,0.0044108333333333334
2005-11-30,0.0038072318710374946,0.0038583333333333334,0.004444166666666667
2005-12-31,0.004662546677580514,0.003833333333333333,0.0042499999999999994
2006-01-31,0.0040787263215765115,0.003666666666666667,0.004209166666666667
2006-02-28,0.0049250379092227025,0.0034666666666666665,0.0038516666666666664
2006-03-31,0.0034225845881692223,0.0034750000000000002,0.004159166666666666
2006-04-30,0.002521090447846272,0.0034416666666666662,0.0043075
2006-05-31,0.001923023634356745,0.0034583333333333337,0.0044425
2006-06-30,0.0006803906546129792,0.0035083333333333334,0.0047374999999999995
2006-07-31,0.0009131027971560047,0.003483333333333333,0.0046675
2006-08-31,0.000981781030894456,0.0034916666666666672,0.004661666666666667
2006-09-30,0.0014510638383648535,0.003516666666666666,0.004591666666666667
2006-10-31,0.0022849505403579377,0.0035083333333333334,0.0044175
2006-11-30,0.0027803753914517003,0.0035,0.004310833333333333
2006-12-31,0.0025714483229953267,0.0035,0.0043525
