timestamp,TBSP
2003-02-28,0.011035265102862526
2003-03-31,0.008321184976620008
2003-04-30,0.011721913837990941
2003-05-31,0.013716572112448921
2003-06-30,0.0026751891857798417
2003-07-31,-0.014393853753024342
2003-08-31,0.004771570465416765
2003-09-30,-0.012431820993859767
2003-10-31,-0.03570988750856199
2003-11-30,-0.004184380154061219
2003-12-31,0.03139602688300836
2004-01-31,-0.0038537988373998806
2004-02-29,0.004876992328531959
2004-03-31,0.008041538963229476
2004-04-30,-0.019476600356762613
2004-05-31,-0.0016664590233263603
2004-06-30,0.007769069263667305
2004-07-31,-0.007737545921837929
2004-08-31,0.004433960436289795
2004-09-30,0.022084045745403954
2004-10-31,0.0022319358914936987
2004-11-30,0.017927607559359567
2004-12-31,0.023922457554497945
2005-01-31,-0.0018627287198560347
2005-02-28,0.02194226260871858
2005-03-31,0.006984101178570622
2005-04-30,0.0032745782444079225
2005-05-31,0.01918468179541824
2005-06-30,0.022410854403447773
2005-07-31,-0.0020553733591309065
2005-08-31,0.009473021851266934
2005-09-30,0.007438377245983877
2005-10-31,-0.018681015402286224
2005-11-30,0.002053939082600814
2005-12-31,0.011315095617956407
2006-01-31,0.006718955394199368
2006-02-28,0.01947893873885008
2006-03-31,-0.00870413587308228
2006-04-30,-0.00204076242908957
2006-05-31,-0.0020189382848793585
2006-06-30,-0.008631450226282507
2006-07-31,0.006442897537723016
2006-08-31,0.00359080693341265
2006-09-30,0.00594153262633778
2006-10-31,0.010363190397434649
2006-11-30,0.0077145458034823065
2006-12-31,0.001810506741417812
